doc	source_file	pmid	field	kind	entity_id	label	original_spans	context	relationship_subject_id	relationship_subject_label	chemical_relationship	chemicals_utilized	study_taxa	strains	chemical_relationship_id	chemical_relationship_label	chemical_relationship_match_type	grounded_id	grounded_ids	kg_name	kg_category	match_type	kg_edge_count	kg_edge_evidence
1	00001-41779015-abstract.txt	41779015	study_taxa	taxon_candidate	AUTO:Salinimicrobium%20aquimaris	Salinimicrobium aquimaris	1542:1567	...novel Salinimicrobium species, for which the name [[Salinimicrobium aquimaris]] sp. nov. is proposed. The type strain is HB62T (=...				0	1	0									0	
1	00001-41779015-abstract.txt	41779015	study_taxa	taxon_candidate	AUTO:Salinimicrobium%20soli	Salinimicrobium soli	544:564	...hared the highest sequence identity of 98.0% with [[Salinimicrobium soli]] CAU 1287T and those of ≤97.9% and ≤94.6% with the...				0	1	0				NCBITaxon:1254399	NCBITaxon:1254399	Salinimicrobium soli	biolink:OrganismTaxon	name	4	out:biolink:subclass_of:NCBITaxon:561367|in:biolink:subclass_of:kgmicrobe.strain:CCUG-64794|in:biolink:subclass_of:kgmicrobe.strain:KCTC-32163|in:biolink:subclass_of:kgmicrobe.strain:bacdive_156750
1	00001-41779015-abstract.txt	41779015	study_taxa	taxon_candidate	AUTO:Salinimicrobium	Salinimicrobium	544:559; 623:638; 840:855; 946:961; 1498:1513; 1542:1557	...hared the highest sequence identity of 98.0% with [[Salinimicrobium]] soli CAU 1287T and those of ≤97.9% and ≤94.6% wit...; ...T and those of ≤97.9% and ≤94.6% with the rest of [[Salinimicrobium]] type strains and other genera type strains, respe...; ... strain HB62T was stably clustered into the genus [[Salinimicrobium]]. Average nucleotide identity and digital DNA-DNA ...; ... DNA-DNA hybridization values of strain HB62T and [[Salinimicrobium]] type strains were 72.1-78.2% and 17.8-21.2%, resp...; ...s, strain HB62T is concluded to represent a novel [[Salinimicrobium]] species, for which the name Salinimicrobium aquim...; ...novel Salinimicrobium species, for which the name [[Salinimicrobium]] aquimaris sp. nov. is proposed. The type strain i...				0	1	0				NCBITaxon:561367	NCBITaxon:561367	Salinimicrobium	biolink:OrganismTaxon	name	16	in:biolink:subclass_of:NCBITaxon:1254399|in:biolink:subclass_of:NCBITaxon:390640|in:biolink:subclass_of:NCBITaxon:999702|in:biolink:subclass_of:NCBITaxon:1343891|in:biolink:subclass_of:NCBITaxon:680283
1	00001-41779015-abstract.txt	41779015	strains	strain	AUTO:HB62T	HB62T	92:97; 218:223; 339:344; 487:492; 798:803; 936:941; 1458:1463; 1609:1614	"...ly anaerobic and rod-shaped strain, designated as [[HB62T]], was isolated from seawater in the tidal region o...; ...and, People's Republic of China. Growth of strain [[HB62T]] occurs at 16-40 °C, 0.5-10.0% (w/v) and pH 6.0-9....; ...a of 37 °C, 1.5-2.0% (w/v) and pH 6.5-7.0. Strain [[HB62T]] could grow anaerobically by using nitrate and sul...; ...ene sequence identity analysis showed that strain [[HB62T]] shared the highest sequence identity of 98.0% wit...; ...le-copy orthologous clusters revealed that strain [[HB62T]] was stably clustered into the genus Salinimicrobi...; ...nd digital DNA-DNA hybridization values of strain [[HB62T]] and Salinimicrobium type strains were 72.1-78.2% ...; ...ic, chemotaxonomic and phenotypic results, strain [[HB62T]] is concluded to represent a novel Salinimicrobium...; ...quimaris sp. nov. is proposed. The type strain is [[HB62T]] (=KCTC 102226T=MCCC 1K08856T).
"				0	0	1									0	
1	00001-41779015-abstract.txt	41779015	strains	strain	AUTO:CAU%201287T	CAU 1287T	565:574	...uence identity of 98.0% with Salinimicrobium soli [[CAU 1287T]] and those of ≤97.9% and ≤94.6% with the rest of S...				0	0	1									0	
1	00001-41779015-abstract.txt	41779015	strains	strain	AUTO:KCTC%20102226T	KCTC 102226T	1617:1629	"... sp. nov. is proposed. The type strain is HB62T (=[[KCTC 102226T]]=MCCC 1K08856T).
"				0	0	1									0	
1	00001-41779015-abstract.txt	41779015	strains	strain	AUTO:MCCC%201K08856T	MCCC 1K08856T	1630:1643	"...proposed. The type strain is HB62T (=KCTC 102226T=[[MCCC 1K08856T]]).
"				0	0	1									0	
1	00001-41779015-abstract.txt	41779015	chemical_utilization_object	chemical	AUTO:nitrate	nitrate	379:386	...0. Strain [[HB62T]] could grow anaerobically by using [[nitrate]] and sulphate as electron acceptors. The 16S rRNA ...	AUTO:HB62T	HB62T	uses_as_electron_acceptor	1	0	0	METPO:2000008	uses as electron acceptor	label	CHEBI:17632	CHEBI:17632	nitrate	biolink:ChemicalEntity|biolink:ChemicalSubstance|biolink:SmallMolecule	name	25573	out:biolink:subclass_of:CHEBI:33458|out:biolink:subclass_of:CHEBI:62764|out:biolink:subclass_of:CHEBI:79389|out:biolink:related_to:CHEBI:48107|in:METPO:2000019:kgmicrobe.strain:bacdive_1006
1	00001-41779015-abstract.txt	41779015	chemical_utilization_object	chemical	AUTO:sulphate	sulphate	391:399	...62T could grow anaerobically by using nitrate and [[sulphate]] as electron acceptors. The 16S rRNA gene sequence...	AUTO:HB62T	HB62T	uses_as_electron_acceptor	1	0	0	METPO:2000008	uses as electron acceptor	label	CHEBI:16189	CHEBI:16189	sulfate	biolink:ChemicalEntity|biolink:ChemicalSubstance|biolink:SmallMolecule	synonym	554	out:biolink:subclass_of:CHEBI:24834|out:biolink:subclass_of:CHEBI:33482|out:biolink:subclass_of:CHEBI:48154|out:biolink:subclass_of:CHEBI:79388|out:biolink:related_to:CHEBI:23357
2	00002-41774080-abstract.txt	41774080	study_taxa	taxon_candidate	AUTO:Janibacter	Janibacter	428:438; 522:532; 655:665; 689:699; 885:895; 1651:1661; 1683:1693; 1721:1731	...ecies, with both species falling within the genus [[Janibacter]]. Strains G56T and G1551 exhibited the highest 16S...; ... the highest 16S rRNA gene sequence similarity to [[Janibacter]] anophelis CCUG 49715T (98.61%), whereas strains G...; ... the highest 16S rRNA gene sequence similarity to [[Janibacter]] limosus DSM 11140T and Janibacter terrae NBRC 107...; ...e similarity to Janibacter limosus DSM 11140T and [[Janibacter]] terrae NBRC 107853T (99.03-99.10%). The average n...; ...strains (G56T and G349T) and species of the genus [[Janibacter]] were 74.59-89.54% and 19.70-38.30%, respectively....; ...dered to represent two novel species of the genus [[Janibacter]], for which the names Janibacter zhaoxuefangae sp....; ...cies of the genus Janibacter, for which the names [[Janibacter]] zhaoxuefangae sp. nov. and Janibacter zhangyanbon...; ...h the names Janibacter zhaoxuefangae sp. nov. and [[Janibacter]] zhangyanbonis sp. nov. are proposed. The type str...				0	1	0				NCBITaxon:53457	NCBITaxon:53457	Janibacter	biolink:OrganismTaxon	name	18	in:biolink:subclass_of:NCBITaxon:103817|in:biolink:subclass_of:NCBITaxon:1069963|in:biolink:subclass_of:NCBITaxon:1285192|in:biolink:subclass_of:NCBITaxon:256549|in:biolink:subclass_of:NCBITaxon:262209
